,text,label
3177,"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",neutral
2843,The other deal is for process cranes to the Russian steel mill PNTZ in Pervorouralsky through an order placed by Turkish construction company Gama Endustri Tesisleri Imalat ve Montaj AS .,neutral
289,Vacon 's cash flow from operations grew to EUR 37.1 mn from EUR 21.9 mn a year ago .,positive
3823,Net sales have been eaten by the weak US dollar .,negative
3147,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral
4045,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 .,negative
3263,The agreement includes application maintenance and support services .,neutral
4110,"Exports of goods fell by 59 % , and imports by 16.7 % .",negative
3608,"`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''",neutral
3329,"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros .",neutral
1265,"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",positive
3696,"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",neutral
2277,The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral
2159,"Seller is the Finnish Elcoteq Group , the largest European electronics manufacturing services company .",neutral
2323,A huge issue for us is the button placement .,neutral
261,Sales of clothing developed best .,positive
3243,"Sampo Group that has become a major shareholder in Nordea owns TrygVesta 's main competitor , If P & C Insurance .",neutral
553,"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral
3656,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral
1671,"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",positive
724,All of Raisio 's divisions recorded an operating profit .,positive
3970,"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",neutral
1160,The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,neutral
986,`` The issues identified by Stonesoft affect a range of content inspection technology .,neutral
3512,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative
2873,The reductions will be concluded by autumn 2010 .,neutral
1665,"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",positive
633,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",positive
3357,The manufacturing will begin in Pietarsaari in the beginning of the year 2009 and the delivery will take place in October 2009 .,neutral
3944,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",negative
4052,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative
1505,"However , the bottom-line result improved thanks to positive financial items .",positive
2716,"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",neutral
1162,The Extraordinary General Meeting is expected to take place no later than 18 February 2011 .,neutral
2986,"Votorantim Celulose e Papel ( VCP ) is part of the Votorantim Group , a major Brazilian conglomerate .",neutral
2721,The combined value of the planned investments is about EUR 30mn .,neutral
398,"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",neutral
3389,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral
2468,"Finland-based companies , L+ñnnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia .",neutral
3184,Marketing will use Tikkurila 's existing infra structure and local knowledge in Russia .,neutral
2322,A few employees would remain at the Oulu plant in support functions for other group units .,neutral
1169,"The important thing now is to keep the bank 's existing 15,000 customers .",neutral
1148,"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",neutral
2157,Saunalahti is a part of the Elisa group .,neutral
1547,"Chic and cheerful , Finnish design house Marimekko has been sending its geometric textiles out into the world for the past 60 years .",neutral
1182,"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral
3299,The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,neutral
3908,"Typically , the transmission power level can be decreased when the interference noise is above a predefined value .",neutral
3242,Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,neutral
3712,"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative
2244,"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",neutral
2055,facades in Riga 8 March 2010 - Finnish construction company YIT Oyj HEL : YTY1V said today that it will build the frame and the facades in a tower construction project in Riga .,neutral
2242,The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,neutral
2795,The full MidnightTrader extended-hours trading analysis and news service is available in real-time through COMTEX .,neutral
2778,"The engine has an electrical output of 18,321 kW , making it the largest gas powered generating set in the world .",neutral
331,Olvi expects sales and market share to increase in the first quarter of 2010 .,positive
3341,The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral
1497,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 .,positive
3700,"The interim report for the first quarter is published on May 8 , 2009 .",neutral
3855,Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,negative
2745,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral
282,The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive
2731,"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .",neutral
2508,"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",neutral
3412,"The total value of the agreement is USD4 .0 m , the company said .",neutral
2914,"The transaction covers a building lot of 46,763 sq m and factory buildings of 19,631 sq m. Since the autumn of 2007 , when Scanfil discontinued its production operations in Oulu , the facilities have been partly leased to other parties .",neutral
678,Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,positive
2008,All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,neutral
1546,Basic banking activities continued as normal .,neutral
1208,"The subsidiary will be responsible for filter sales , local assembly of filters and after market services in China .",neutral
318,"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",positive
3085,Customers include hotels and restaurants as well as wholesalers and some retailers .,neutral
3900,The company said it estimates to make a slight profit thanks to cost-cutting measures .,positive
365,Turnover rose to EUR21m from EUR17m .,positive
2748,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral
3612,"A worm set to activate Friday will corrupt documents using the most common file types , including '' .",neutral
1016,An audio webcast will be available live and archived on Cerner 's Web site at www.cerner.com .,neutral
420,"After the transaction , Alma Media raised its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",positive
4209,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",negative
2407,"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay solution suite .",neutral
325,Net sales surged by 30 % to EUR 36 million .,positive
2254,The new organization consists of two business units : Charging & Messaging and Finance & Administration .,neutral
6,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive
1888,"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",positive
2811,The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood .,neutral
3582,25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative
716,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",positive
1814,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral
3124,"He joins Technopolis from KONE where he has held various positions within the Group , most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations .",neutral
3129,"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral
3414,The total value of the deal is USD 29mn .,neutral
987,`` They want my credit card info and my personal details .,neutral
165,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .,positive
1619,Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive
3334,"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices .",neutral
2865,"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",neutral
2431,Consumption is forecast to grow by about 2 % .,positive
1235,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral
1173,The Kyroskoski investment is to be completed in late 2011 and the +ä+ñnekoski investment in the spring of 2012 .,neutral
417,`` Ruukki is now included on DJSI World for the second year running and the European DJSI STOXX for the third year running .,neutral
4180,"In Finland , the launch of tie-in sales of 3G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days .",neutral
2112,"mr Bakman sees also expansion options on the Tallinn-Helisnki link , claiming however , that operating the link with only a single ship is not enough .",neutral
3730,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",negative
4013,The measures result from decreased demand in technical design and product information .,negative
2990,You 're not alone .,neutral
2505,"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",neutral
689,Talvivaara also maintains its assumption of turning cash flow positive before the year end .,positive
2074,He is a member of the Board of numerous com-panies and a shareholder of the Boardman Ltd board specialist net-work .,neutral
3817,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative
1783,It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,positive
2717,"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral
1275,Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .,neutral
281,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive
1430,"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",neutral
3084,"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",neutral
950,"The device can also be used for theft protection and positioning of vehicles , boats and other assets .",neutral
3332,The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,neutral
3445,Total value of the contract is about EUR 10mn .,neutral
1834,Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral
1368,The deal was worth about EUR 1.2 mn .,neutral
2356,AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral
221,Net sales of the Vegetable Oil Business rose to EUR 10.6 mn from EUR 10.1 mn .,positive
1765,"However , he expects banks to provide alternative financing .",positive
2523,"In the fourth quarter of 2006 , OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January-September 2006 .",neutral
2182,The acquisition price was not disclosed .,neutral
2065,"Following the issue , the new shares will constitute 10 percent of the firm 's capital .",neutral
702,`` The trend in the sports and leisure markets was favorable in the first months of the year .,positive
4000,"The podcast , sees Harple provide the low-down on GyPSii 's platform , which takes someone 's location and demographic information to produce a contextual index of the world around them .",neutral
487,"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",positive
2642,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral
28,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",positive
2359,"After completion of the acquisition , Poyry 's oil and gas expertise will cover multi-discipline engineering and consulting services across the complete oil and gas asset lifecycle , including deepwater engineering services .",neutral
2184,"The aim of the CEO 's Q&A sessions is to give further clarity on information , which has been made public already earlier .",neutral
906,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral
2351,Activities range from the development of natural resources to the retailed marketing of finished products .,neutral
3500,Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,negative
2660,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel. +358 10 516 0030 Distribution : NASDAQ OMX Helsinki The principal media Financial Supervisory Authority www.sampo.com This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .,neutral
440,"ADPnews - Jun 30 , 2009 - Finnish stainless steel maker Outokumpu Oyj HEL : OUT1V said yesterday it signed a three-year EUR 900 million USD 1.3 bn revolving credit facility .",positive
2179,Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral
246,Passenger-related revenue rose by 5.1 % to EUR 460.8 mn from EUR 438.5 mn in 2009 .,positive
3045,Amanda Capital has investments in 22 private equity funds and in over 200 unquoted companies mainly in Europe .,neutral
38,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",positive
153,"Both operating profit and net sales for the six-month period increased , respectively from EUR18 .1 m and EUR127 .6 m , as compared to the corresponding period in 2006 .",positive
3431,The value of this kind of order amounts usually between Euro 2 and 3 million .,neutral
683,Our standardised services have met with a positive reception among our customers as well as at Itella .,positive
3271,"The bond , with a maturity of five years , is part of the bank 's domestic bond program .",neutral
2027,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",neutral
3492,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative
3684,"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .",neutral
2273,"The sale will be finalized in September or October , the company said .",neutral
1517,"Aug. 31 , 2009 (Gawker Media delivered by Newstex)-- If you love fishing video games but felt that there just was n't enough wackiness involved , then Activision 's (NASDAQ : ATVI) Rapala : We Fish might just catch your eye with its family-fun hook .",neutral
66,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .",neutral
2284,They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,neutral
789,The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive
455,"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was registered with the Finnish Trade Register on January 4 , 2008 .",neutral
1258,Estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral
3480,"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative
501,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral
4145,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,negative
2727,The company does not disclose the sum it applied for .,neutral
2968,"UPM is talking to Myllykoski+ó s creditor banks -- Nordea ( STO : NDA ) , Nordic Investment Bank and Danske Bank+ó s ( CPH : DANSKE ) Sampo Bank -- over a deal , the paper said .",neutral
2240,"The latest date for registration is on 4 April , 2006 .",neutral
836,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive
4124,"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative
896,Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral
59,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive
871,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,positive
584,The last job losses related to these reductions will take place during 2010 .,neutral
719,"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive
1759,"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+®cs , where the company has two plants .",positive
1626,"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",neutral
3800,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative
964,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 .",neutral
2068,"GeoSentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral
2881,The sale price was not disclosed .,neutral
1839,"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option .",neutral
2326,A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral
792,The company will also be compensated for acting as a reserve batch plant .,positive
2191,The category was marked by maturity and the recession .,neutral
1552,Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,neutral
3569,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive
1510,"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive
2557,"Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .",neutral
3202,No financial details of the deployment were disclosed .,neutral
1153,"The competition was received with great enthusiasm by the employees , he goes on .",positive
2730,"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 .",neutral
2457,"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",neutral
3510,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative
2331,Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative
784,"The Australian company Mirabela Nickel has awarded Outokumpu Technology a contract for grinding technology for its nickel sulfide project in Bahia State , Brazil .",positive
212,"( ADP News ) - Feb 12 , 2009 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today its net profit rose to EUR 8.5 million ( USD 11m ) in 2008 from EUR 7 million in 2007 .",positive
3051,"As a result , the number of personnel in Finland will be reduced by 158 .",neutral
3980,"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative
3009,`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',neutral
2848,The passenger tunnel is expected to be put into operation in 2009 .,neutral
2071,Growth is expected to continue in 2008 .,positive
2463,Financial details were not disclosed .,neutral
2262,"The payment date is March 25 , 2010 .",neutral
725,"And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 .",positive
4197,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative
693,The estimated synergy benefits are at least EUR7m annually .,positive
4,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive
2995,"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",neutral
268,The aim is to increase sales by at least one fifth in 2006 .,positive
444,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral
2766,The deal includes an option for Cramo to buy out the minority stake in 2011 .,neutral
205,Incap estimates it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from its Indian operations for 2007 .,neutral
3818,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative
4172,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative
2381,"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",neutral
620,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",positive
1401,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive
2689,"Tecnomen 's solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks .",neutral
2774,The ECB can mainly target inflation .,neutral
2555,"Kaupthing forecasts that Finnish-Swedish Stora Enso will close its mill in Reisholz , in Germany .",neutral
3130,"In 2007 , the Group 's net sales stood at EUR 42 million and it had about 1,445 employees .",neutral
1716,` Very recommendable ' is the Nokian Z G2 according to the ` ADAC judgement ' in the latest summer tyre test of the German automobile association ADAC .,positive
2257,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral
1300,It is hand-painted resin with real 14-0 trebles and is 75cm long by 25cm deep from top to bottom of the middle hook .,neutral
226,Operating profit rose to 22.1 mln eur from 19.9 mln .,positive
3409,The total investment in 2006 and 2007 is expected to amount to about EUR75m .,neutral
3585,All reproduction for further distribution is prohibited .,neutral
101,"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive
3157,"It comes complete with an LCD touch screen system for selection of your chosen function and prices start at around the pounds 4,805 mark .",neutral
471,"Jan. 6 -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date , gotta-have cars .",negative
2195,"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral
